image_id,url,priority,title,comment,locality_id
1,"/travel/alleppey/1.jpg",3,"Kayaking in the  Alleppey Backwaters",null,1
2,"/travel/alleppey/2.jpg",0,"Water Cow",null,1
3,"/travel/alleppey/3.jpg",0,"Alleppey Waterside",null,1
4,"/travel/alleppey/4.jpg",2,"Snake Boat Training","The snake boats are traditionally raced through the Kerala backwaters. With 100 rowers and others chanting and beating on the boats hull, its quite a spectacle to see.",1
5,"/travel/alleppey/5.jpg",0,"Kayaking in the  Alleppey Backwaters",null,1
6,"/travel/alleppey/6.jpg",1,"Kayaking in the  Alleppey Backwaters",null,1
7,"/travel/anjuna/1.jpg",0,"Anjuna Beach",null,2
8,"/travel/anjuna/2.jpg",0,"Sunset on Anjuna Beach",null,2
9,"/travel/anjuna/3.jpg",0,"Beach Cows",null,2
10,"/travel/arambol/1.jpeg",0,"Arambol Beach",null,3
11,"/travel/arambol/2.jpeg",0,"Arambol Beach",null,3
12,"/travel/arambol/3.jpeg",0,"Beachside Houses",null,3
13,"/travel/arambol/4.jpeg",0,"Secret Beach Path","This path lead round the cliff to a secret beach that was hidden between two cliffs and only accessible by foot.",3
14,"/travel/arambol/5.jpeg",0,null,null,3
15,"/travel/arambol/6.jpeg",0,"Oasis At The Secret Beach",null,3
16,"/travel/arambol/7.jpeg",0,"Secret Beach",null,3
17,"/travel/arambol/8.jpeg",0,null,null,3
18,"/travel/delhi/1.jpeg",0,"The Red Fort Entrance","The sheer size of this fort was impressive and very hard to get in a single shot.",4
19,"/travel/delhi/2.jpeg",0,"Old Town Delhi","A mad hot pot of people, smells of spices and vibrant colours. Definitely not for the faint hearted!",4
20,"/travel/delhi/3.jpeg",0,"India Gate",null,4
21,"/travel/delhi/4.jpeg",0,"Isa Khan's Tomb",null,4
22,"/travel/delhi/5.jpeg",0,null,null,4
23,"/travel/delhi/6.jpeg",0,"Humayun's Tomb",null,4
24,"/travel/delhi/7.jpeg",0,"Old Delhi Rooftop View","In the foreground is the minaret of one of the many Mosques throughout Delhi.",4
25,"/travel/delhi/8.jpeg",0,"The Spice Markets Of Old Delhi",null,4
26,"/travel/fulidhoo/1.jpeg",0,"The View As Sharks Circle Overhead",null,5
27,"/travel/fulidhoo/2.jpeg",0,"Saying Hello To The Sharks",null,5
28,"/travel/fulidhoo/3.jpeg",0,"The Sunset After Surfacing From An Evening Dive",null,5
29,"/travel/fulidhoo/4.jpeg",0,"Feeding The Wild Stingrays",null,5
30,"/travel/fulidhoo/5.jpeg",0,"Fulidhoo Pier",null,5
31,"/travel/fulidhoo/6.jpeg",0,"Fulidhoo Beach",null,5
32,"/travel/fulidhoo/7.jpeg",0,"Fulidhoo Beach",null,5
33,"/travel/fulidhoo/8.jpeg",0,"The Classic Maldives Shot",null,5
34,"/travel/fulidhoo/9.jpeg",0,"Fulidhoo Highstreet",null,5
35,"/travel/jaipur/1.jpeg",0,"The View Down On The Jal Mahal And Surrounding Lake",null,7
36,"/travel/jaipur/2.jpeg",0,"Jal Mahal",null,7
37,"/travel/jaipur/3.jpeg",0,"The Amber Fort Gardens",null,7
38,"/travel/jaipur/4.jpeg",0,"The Amber Fort",null,7
39,"/travel/jaipur/5.jpeg",0,"Monkeys At The Amber Fort",null,7
40,"/travel/jaipur/6.jpeg",0,"The Amber Fort At Night",null,7
41,"/travel/jaipur/7.jpeg",0,"Hawa Mahal",null,7
42,"/travel/jaipur/8.jpeg",0,"City Palace Guards",null,7
43,"/travel/jaipur/9.jpeg",0,"Monkey Headspace",null,7
44,"/travel/jaipur/10.jpeg",0,"Jantar Mantar",null,7
45,"/travel/jaisalmer/1.jpeg",0,"Desert Village",null,8
46,"/travel/jaisalmer/2.jpeg",0,null,null,8
47,"/travel/jaisalmer/3.jpeg",0,"Village Friends",null,8
48,"/travel/jaisalmer/4.jpeg",0,"Smiles and Colour",null,8
49,"/travel/jaisalmer/5.jpeg",0,"Happy Camel",null,8
50,"/travel/jaisalmer/6.jpeg",0,"Staring Down Over Jaisalmer",null,8
51,"/travel/jaisalmer/7.jpeg",0,"Jasailmer Fort And The City Below",null,8
52,"/travel/jaisalmer/8.jpeg",0,"Jasialmer Fort Entrance",null,8
53,"/travel/jodhpur/1.jpeg",0,"Mehrangarh Fort",null,9
54,"/travel/jodhpur/2.jpeg",0,"Smiles and Colour",null,9
55,"/travel/jodhpur/3.jpeg",0,"Mehrangarh Fort",null,9
56,"/travel/jodhpur/4.jpeg",0,"Blue City",null,9
57,"/travel/jodhpur/5.jpeg",0,"Doing The Chores",null,9
58,"/travel/jodhpur/6.jpeg",0,"Blue City",null,9
